route_id,route_path_template,route_label,route_kind,route_category_id,route_source,source_component,route_source_status,mapped_fs_ids,mapped_mbp_ids,implementation_state,verification_state,last_reviewed_at_utc,reviewed_by,key_subfeatures,gap_notes,evidence_links
"RTC-0001","/billing","Billing","redirect","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","Navigate(to=/billing/customers)","router_only","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Billing; Role-scoped access flow; State transition controls","Route exists in router modules without a dedicated page file; behavior is redirect/catch-all managed.","src/router/routeModules/protectedAppRoutes.tsx"
"RTC-0002","/billing/analytics","Billing Analytics","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","BillingAnalyticsPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Billing Analytics; Monthly Revenue — Last 6 Months; Revenue by Month; AR Aging; Top Customers by Collected Revenue","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/analytics/page.tsx"
"RTC-0003","/billing/ar-dashboard","AR Dashboard","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","ArDashboardPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","AR Dashboard; Customer Balances; Validation and error-state handling","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/ar-dashboard/page.tsx"
"RTC-0004","/billing/credit-memos","Credit Memos","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","BillingCreditMemosPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Credit Memos; Role-scoped action controls; Validation and error-state handling","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/credit-memos/page.tsx"
"RTC-0005","/billing/customers","Customers","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","CustomersPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Customers; Role-scoped action controls; Validation and error-state handling","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/customers/page.tsx"
"RTC-0006","/billing/customers/:id","Billing Customers Detail","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","CustomerDetailPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","customer?.name; Customer Information; Quotes; Invoices; Payment History","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/customers/[id]/page.tsx"
"RTC-0007","/billing/deposits","Deposits","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","BillingDepositsPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Deposits; Role-scoped action controls; Validation and error-state handling","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/deposits/page.tsx"
"RTC-0008","/billing/invoices","Invoices","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","InvoicesPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Invoices; Cash; Check; Credit Card; Wire Transfer","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/invoices/page.tsx"
"RTC-0009","/billing/invoices/:id","Billing Invoices Detail","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","InvoiceDetailPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","invoice.invoiceNumber; Invoice invoice.invoiceNumber; Invoice Summary; Line Items; Payment History","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/invoices/[id]/page.tsx"
"RTC-0010","/billing/invoices/new","Billing Invoices New","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","NewInvoicePage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","New Invoice; Invoice Source; Invoice Details; Tax Rate","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/invoices/new/page.tsx"
"RTC-0011","/billing/labor-kits","Labor Kits","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","LaborKitsPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Labor Kits; Role-scoped action controls; Validation and error-state handling","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/labor-kits/page.tsx"
"RTC-0012","/billing/otc","OTC Sales","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","OTCSalesPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Counter Sales; Add Items; Cart (cart.length itemcart.length !== 1 ? ""s"" : """"); Payment; Sales History","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/otc/page.tsx"
"RTC-0013","/billing/pricing","Pricing","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","BillingPricingPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Pricing; Pricing Profiles; Pricing Rules","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/pricing/page.tsx"
"RTC-0014","/billing/purchase-orders","Purchase Orders","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","PurchaseOrdersPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Purchase Orders; Draft; Submitted; Partial; Received","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/purchase-orders/page.tsx"
"RTC-0015","/billing/purchase-orders/:id","Billing Purchase Orders Detail","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","PODetailPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","po.poNumber; PO Summary; Line Items","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/purchase-orders/[id]/page.tsx"
"RTC-0016","/billing/purchase-orders/new","Billing Purchase Orders New","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","NewPOPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","New Purchase Order; PO Details; Line Items","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/purchase-orders/new/page.tsx"
"RTC-0017","/billing/quotes","Quotes","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","QuotesPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Quotes; Role-scoped action controls; Validation and error-state handling","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/quotes/page.tsx"
"RTC-0018","/billing/quotes/:id","Billing Quotes Detail","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","QuoteDetailPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Billing Quotes Detail; Role-scoped action controls; Validation and error-state handling","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/quotes/[id]/page.tsx"
"RTC-0019","/billing/quotes/new","Billing Quotes New","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","NewQuotePage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Billing Quotes New; Role-scoped action controls; Validation and error-state handling","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/quotes/new/page.tsx"
"RTC-0020","/billing/recurring","Recurring","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","BillingRecurringPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Recurring; Recurring Billing; Validation and error-state handling","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/recurring/page.tsx"
"RTC-0021","/billing/settings","Billing Settings","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","BillingSettingsPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Billing Settings; Role-scoped action controls; Validation and error-state handling","Page includes explicit coming-soon/stub indicators; capability is partial.","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/settings/page.tsx"
"RTC-0022","/billing/tax-config","Tax Config","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","BillingTaxConfigPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Tax Config; Tax Configuration; Validation and error-state handling","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/tax-config/page.tsx"
"RTC-0023","/billing/time-approval","Time Approval","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","BillingTimeApprovalPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Time Approval; Time Clock Approval; Validation and error-state handling","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/time-approval/page.tsx"
"RTC-0024","/billing/time-clock","Time Clock","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","BillingTimeClockPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Time Clock; Today&apos;s Summary; Validation and error-state handling","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/time-clock/page.tsx"
"RTC-0025","/billing/vendors","Vendors","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","VendorsPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Vendors; Role-scoped action controls; Validation and error-state handling","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/vendors/page.tsx"
"RTC-0026","/billing/vendors/:id","Billing Vendors Detail","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","VendorDetailPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","vendor.name; Services; Contact Information; Certification; Purchase Order History","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/vendors/[id]/page.tsx"
"RTC-0027","/billing/vendors/new","Billing Vendors New","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","NewVendorPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","New Vendor; Vendor Information; Contact Information; Certification; Parts Supplier","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/vendors/new/page.tsx"
"RTC-0028","/billing/warranty","Warranty","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","WarrantyPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Total Claims; Draft; Submitted; Under Review; Approved","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/warranty/page.tsx"
"RTC-0029","/compliance","Compliance","page","CAT-COMPLIANCE","src/router/routeModules/protectedAppRoutes.tsx","CompliancePage","routed","FS-0020, FS-0030, FS-0061","MBP-0011, MBP-0117, MBP-0145","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Compliance; Fleet AD Compliance Status; Compliance Tools","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/compliance/page.tsx"
"RTC-0030","/compliance/ad-sb","AD/SB","page","CAT-COMPLIANCE","src/router/routeModules/protectedAppRoutes.tsx","AdSbCompliancePage","routed","FS-0020, FS-0030, FS-0061","MBP-0011, MBP-0117, MBP-0145","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","AD/SB; Role-scoped action controls; Validation and error-state handling","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/compliance/ad-sb/page.tsx"
"RTC-0031","/compliance/audit-trail","Audit Trail","page","CAT-COMPLIANCE","src/router/routeModules/protectedAppRoutes.tsx","AuditTrailPage","routed","FS-0020, FS-0030, FS-0061","MBP-0011, MBP-0117, MBP-0145","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Audit Trail; Airworthiness Directives — aircraftRegistration; Validation and error-state handling","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/compliance/audit-trail/page.tsx"
"RTC-0032","/compliance/certificates","Compliance Certificates","redirect","CAT-COMPLIANCE","src/router/routeModules/protectedAppRoutes.tsx","Navigate(to=/compliance/audit-trail)","router_only","FS-0020, FS-0030, FS-0061","MBP-0011, MBP-0117, MBP-0145","implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Compliance Certificates; Role-scoped access flow; State transition controls","Route exists in router modules without a dedicated page file; behavior is redirect/catch-all managed.","src/router/routeModules/protectedAppRoutes.tsx"
"RTC-0033","/compliance/qcm-review","QCM Review","page","CAT-COMPLIANCE","src/router/routeModules/protectedAppRoutes.tsx","QcmReviewPage","routed","FS-0020, FS-0030, FS-0061","MBP-0011, MBP-0117, MBP-0145","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","QCM Review; IA Sign-Off Queue; Validation and error-state handling","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/compliance/qcm-review/page.tsx"
"RTC-0034","/dashboard","Dashboard","page","CAT-DASHBOARD","src/router/routeModules/protectedAppRoutes.tsx","DashboardPage","routed","FS-0012, FS-0026","MBP-0056, MBP-0057","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Dashboard; Active Work Orders; AOG Aircraft; Overdue ADs; Open Discrepancies","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/dashboard/page.tsx"
"RTC-0035","/fleet","Fleet","page","CAT-FLEET","src/router/routeModules/protectedAppRoutes.tsx","FleetPage","routed","FS-0020, FS-0029, FS-0035","MBP-0009, MBP-0047, MBP-0126","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Fleet; Airworthy; Airworthy w/ Limitations; In Maintenance; Out of Service","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/fleet/page.tsx"
"RTC-0036","/fleet/:tail","Fleet Aircraft Tail","page","CAT-FLEET","src/router/routeModules/protectedAppRoutes.tsx","AircraftDetailPage","routed","FS-0020, FS-0029, FS-0035","MBP-0009, MBP-0047, MBP-0126","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","aircraft!.currentRegistration; Work Orders; Identification; Customer; Airworthy","Page includes explicit coming-soon/stub indicators; capability is partial.","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/fleet/[tail]/page.tsx"
"RTC-0037","/fleet/:tail/logbook","Fleet Aircraft Tail Logbook","page","CAT-FLEET","src/router/routeModules/protectedAppRoutes.tsx","AircraftLogbookPage","routed","FS-0020, FS-0029, FS-0035","MBP-0009, MBP-0047, MBP-0126","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","tailNumber; Maintenance; Inspection; Correction","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/fleet/[tail]/logbook/page.tsx"
"RTC-0038","/fleet/calendar","Fleet Calendar","page","CAT-FLEET","src/router/routeModules/protectedAppRoutes.tsx","FleetCalendarPage","routed","FS-0020, FS-0029, FS-0035","MBP-0009, MBP-0047, MBP-0126","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Fleet Calendar; Role-scoped action controls; Validation and error-state handling","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/fleet/calendar/page.tsx"
"RTC-0039","/fleet/predictions","Fleet Predictions","page","CAT-FLEET","src/router/routeModules/protectedAppRoutes.tsx","PredictionsPage","routed","FS-0020, FS-0029, FS-0035","MBP-0009, MBP-0047, MBP-0126","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Fleet Predictions; Predictive Maintenance; Validation and error-state handling","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/fleet/predictions/page.tsx"
"RTC-0040","/lead","Lead","page","CAT-LEAD","src/router/routeModules/protectedAppRoutes.tsx","LeadDashboardPage","routed","FS-0028, FS-0055","MBP-0134, MBP-0139","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Lead Technician Workspace; My Team; Assignment Board; Team Capacity; Active WO Summary","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/lead/page.tsx"
"RTC-0041","/my-work","My Work","page","CAT-MY-WORK","src/router/routeModules/protectedAppRoutes.tsx","MyWorkPage","routed","FS-0023, FS-0044, FS-0058","MBP-0123, MBP-0142","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","My Work; Role-scoped action controls; Validation and error-state handling","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/my-work/page.tsx"
"RTC-0042","/onboarding","Onboarding","page","CAT-ONBOARDING","src/router/routeModules/protectedAppRoutes.tsx","OnboardingPage","routed","FS-0041, FS-0069","MBP-0105, MBP-0153","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Onboarding; Role-scoped action controls; Validation and error-state handling","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/onboarding/page.tsx"
"RTC-0043","/parts","Parts","page","CAT-PARTS","src/router/routeModules/protectedAppRoutes.tsx","PartsPage","routed","FS-0019, FS-0052, FS-0067","MBP-0020, MBP-0122, MBP-0151","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Parts; Role-scoped action controls; Validation and error-state handling","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/parts/page.tsx"
"RTC-0044","/parts/cores","Cores","page","CAT-PARTS","src/router/routeModules/protectedAppRoutes.tsx","CoresPage","routed","FS-0019, FS-0052, FS-0067","MBP-0020, MBP-0122, MBP-0151","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Cores Out; Value Outstanding; Overdue; Awaiting Return; Received","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/parts/cores/page.tsx"
"RTC-0045","/parts/inventory-count","Inventory Count","page","CAT-PARTS","src/router/routeModules/protectedAppRoutes.tsx","InventoryCountPage","routed","FS-0019, FS-0052, FS-0067","MBP-0020, MBP-0122, MBP-0151","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Inventory Count; countDetail.name; Inventory Counts","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/parts/inventory-count/page.tsx"
"RTC-0046","/parts/loaners","Loaners","page","CAT-PARTS","src/router/routeModules/protectedAppRoutes.tsx","LoanersPage","routed","FS-0019, FS-0052, FS-0067","MBP-0020, MBP-0122, MBP-0151","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Loaners; Rental / Loaner Tracking; Validation and error-state handling","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/parts/loaners/page.tsx"
"RTC-0047","/parts/new","New Part","page","CAT-PARTS","src/router/routeModules/protectedAppRoutes.tsx","NewPartPage","routed","FS-0019, FS-0052, FS-0067","MBP-0020, MBP-0122, MBP-0151","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Serviceable (used); Overhauled; Repaired","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/parts/new/page.tsx"
"RTC-0048","/parts/receiving","Part Receiving","page","CAT-PARTS","src/router/routeModules/protectedAppRoutes.tsx","PartsReceivingPage","routed","FS-0019, FS-0052, FS-0067","MBP-0020, MBP-0122, MBP-0151","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Part Receiving; Role-scoped action controls; Validation and error-state handling","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/parts/receiving/page.tsx"
"RTC-0049","/parts/requests","Part Requests","page","CAT-PARTS","src/router/routeModules/protectedAppRoutes.tsx","PartsRequestsPage","routed","FS-0019, FS-0052, FS-0067","MBP-0020, MBP-0122, MBP-0151","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Parts Queue; Pending Inspection; In Stock; Installed; Removed — Pending Disposition","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/parts/requests/page.tsx"
