cert_no,company_name,dba_name,city,state,website_url,shop_size_class,profile_archetype,aircraft_worked_on,website_quality,corridor_ebis_evidence,notes
,Columbia Air Services,,Groton,CT,https://www.columbiaaironline.com,small,turboprop-specialist,"Daher TBM turboprops; piston singles/twins; light jets; avionics",professional,no,"Daher factory authorized service center & distributor (Eastern Canada/New England/Mid-Atlantic); AEA member since 1987; avionics dept; Groton-New London Airport (KGON); multiple dept heads listed on website suggests 20-50 employees; good prospect for MRO software"
,Keystone Turbine Services,,Bridgeport,CT,https://www.precisionaviationgroup.com/our-companies/keystone-turbine-services/,small,engine-mro-specialist,"Rolls-Royce M250 series gas turbine engines; Honeywell/Triumph accessories; PT6A/PT6T fuel controls",professional,likely,"PAG subsidiary (acquired May 2021); FAA & EASA Part 145 certified; Honeywell AWARS; Rolls-Royce M250 FIRST AMROC network; ~26 employees per PitchBook; HQ address now Coatesville PA but FAA cert may still list Bridgeport CT; PAG parent likely uses enterprise MRO software already"
AA1R001K,Sikorsky Aircraft Corp,Overhaul and Repair Dept,Stratford,CT,https://www.lockheedmartin.com/en-us/capabilities/sikorsky.html,enterprise,oem-mro,"Black Hawk (UH-60); S-76; S-92; CH-53K; military/civil helicopters",excellent,no,"Lockheed Martin subsidiary; 6900 Main St Stratford; thousands of employees; enterprise-grade OEM with own MRO capability; EASA approved; too large for Athelon's target market but validates CT helicopter corridor"
,Premier Aviation,,Windsor Locks,CT,https://premier-aviation.com,small,airline-line-maintenance,"commercial airline aircraft; general aviation",basic,unknown,"Based at Bradley International Airport (KBDL); on-call airline maintenance & in-house aircraft maintenance; Level II NDT capabilities (Eddy Current/Magnetic Particle/Dye Penetrant); FBO services; ~40 years combined team experience; small but capable operation; good prospect"
,Northeast Air,,Portland,CT,,micro,unverified,"unknown",none,unknown,"Listed as Portland CT but no web presence found for a Part 145 repair station by this name in Portland CT; note: Northeast Air in Portland ME (KPWM) is a well-known FBO/repair station (51-200 employees; FTUR030E) but that is Maine not Connecticut; may be data entry error in source list or very small unlisted shop"
,Precision Aviation Group,,Stratford,CT,https://www.precisionaviationgroup.com,medium,helicopter-component-mro,"helicopter components; rotor-wing accessories; avionics; engines",excellent,likely,"PAG is an Atlanta-based global MRO with multiple subsidiaries; Stratford CT location likely tied to helicopter MRO given proximity to Sikorsky; PAG has 500+ employees globally; enterprise parent company likely already using MRO software; Keystone Turbine Services is a PAG subsidiary"
,Aero Associates,,Bethany,CT,https://www.aero-associates.com,micro,aircraft-remarketing,"commercial aircraft (brokerage/remarketing)",basic,unknown,"Website describes aircraft remarketing & procurement firm established 2017; not a traditional Part 145 airframe/engine MRO shop; Bethany CT near New Haven; may hold Part 145 cert for limited component work or may be misclassified in source data"
,International Turbine Industries,,Rocky Hill,CT,https://www.internationalturbineindustries.com,small,engine-mro-specialist,"TFE731; Pratt & Whitney JT15D; PW500 business jet engines",professional,unknown,"Specializes in business jet engine MRO; website active but contact address shows 2890 Tyler Rd Ypsilanti MI 48198 - may have relocated from Rocky Hill CT; services Learjet/Citation/Falcon/Hawker engine types; good prospect if still CT-based; verify current location"
,Helicopter Maintenance Specialties,,Bloomfield,CT,,micro,helicopter-specialist,"helicopters (types unknown)",none,unknown,"No web presence found; Bloomfield CT is near Hartford in the Pratt & Whitney/UTC corridor; likely a very small boutique helicopter maintenance shop; may be a sole proprietor or have closed; Turbine Controls Inc (tcimro.com) at 5 Old Windsor Rd Bloomfield CT is a nearby alternative helicopter/turbine shop"
,Connecticut Jet,,Waterbury-Oxford,CT,,small,unverified,"business jets (assumed)",none,unknown,"No standalone web presence found; Clay Lacy Aviation holds Part 145 cert 81CR397D at Waterbury-Oxford Airport (KOXC) and services Gulfstream/Embraer/Dassault/Bombardier/Textron jets; Connecticut Jet may be a DBA or separate smaller operator at same airport; Duncan Aviation also has a satellite avionics shop at OXC"
,Galvin Flying Service,,Seattle,WA,https://galvinflying.com,small,fbo-with-maintenance,"piston and light-turbine general aviation; Cessna 150/172",basic,no,"CLOSED November 2024; founded 1930 on Boeing Field (KBFI); was largest maintenance facility in Seattle for GA; FAA repair station; offered flight training/rental/charter/maintenance; website may still be up but business is defunct; not a viable prospect"
,Castle & Cooke Aviation,,Olympia,WA,https://www.castlecookeaviation.com,medium,fbo-premium,"corporate/business jets (FBO ground handling; Fortune 500 clients)",excellent,no,"Primary WA location is at Paine Field Everett (KPAE) not Olympia; also Van Nuys CA and Honolulu HI; Fortune 500 aviation services since 1981; FBO-focused rather than heavy MRO; maintenance/inspections/avionics offered at Everett; verify if Olympia location exists or if source data refers to Everett"
,Aviation Specialties Inc,,Renton,WA,,small,unverified,"aircraft accessories (assumed based on similar-named companies)",none,unknown,"Could not confirm a Part 145 repair station by this exact name in Renton WA; Aircraft Specialties Inc (different company) is a well-known accessory overhaul shop but not in Renton; may be a very small local shop or may have closed/renamed; needs FAA registry verification"
,Northwest Helicopters,,Olympia,WA,https://nwhelicopters.com,small,helicopter-specialist,"Bell UH-1H Huey; Bell helicopter family; turbine helicopters",professional,no,"Established 1978; 15-acre facility with 18 helipads; largest UH-1H inventory in private sector; Bell Authorized Service Facility; FAA Parts 133/135/137; FAA Certified Repair Station; FAA Type Certificate Holder UH-1H; DGAC TC Holder; USFS/OAS approved; component overhauls/parts/refurbishment/flight services; strong prospect for helicopter MRO software"
,AeroTEC,,Moses Lake,WA,https://aerotec.com,medium,test-engineering-mro,"commercial aircraft (narrowbody/widebody); cargo conversions; STC modifications; winglets; Wi-Fi/radar STCs",excellent,no,"Aerospace Testing Engineering & Certification; ~200 employees across Seattle/Moses Lake/Wichita; FAA Part 145 repair station; 3 hangars at Grant County Intl Airport including 85K sqft widebody MRO hangar; founded 2003; supports 100+ aircraft modification programs; engineering-driven rather than traditional MRO; may use specialized test/cert software already"
,Apex Aerospace,,Kent,WA,,micro,unverified,"unknown",none,unknown,"Could not confirm a Part 145 repair station by this exact name in Kent WA; Apex Aerospace Solutions (LinkedIn) is a parts distributor not MRO; Apex Aerospace (apexaerospace.org) is a STEM education nonprofit; Kent WA is in Boeing corridor so aerospace shops exist but this specific entity is unverified"
,Rainier Flight Service,,Renton,WA,https://rainierflightservice.com,small,fbo-with-maintenance,"Cessna 172/162 piston GA; light general aviation",basic,no,"FBO at Renton Municipal Airport (KRNT); primarily flight training school with aircraft rental and scenic flights; maintenance is secondary offering for own fleet and local GA; small operation; not a strong MRO software prospect"
,Clay Lacy Aviation,,Seattle,WA,https://www.claylacy.com,large,bizjet-mro-premium,"Gulfstream; Embraer Legacy/Praetor; Dassault Falcon; Bombardier; Textron business jets",excellent,yes,"Corridor customer per source data; EASA Part 145 certified; TCCA certified; sold Boeing Field (KBFI) Seattle operation Dec 2018; primary MRO locations now Van Nuys CA and Oxford CT; Seattle presence is charter/management only; 500+ employees company-wide; enterprise-class operation likely already using MRO software"
,Cascade Flyer,,Burlington,WA,https://www.flycascade.com,micro,flight-school,"Cessna piston trainer aircraft",basic,no,"Listed as Cascade Flyer but found as Cascade Aviation at Skagit Regional Airport (KBVS); 15290 Flightline Rd Burlington WA; flight and ground training since 2013; Port of Skagit tenant; no evidence of Part 145 repair station capability; primarily a flight school; not an MRO software prospect"
,Pacific Northwest Avionics,,Vancouver,WA,,micro,avionics-specialist,"avionics (types unknown)",none,unknown,"No web presence found for this specific company name in Vancouver WA; Pacific Coast Avionics (different company) is located near Portland OR; may be a very small sole-proprietor avionics shop or may have closed/renamed; needs FAA registry verification"
