cert_no,company_name,city,state,website_url,website_quality,shop_size_class,specialization,aircraft_worked_on,software_mentioned,notes
GA5R876M,First Flight Aviation,Miamisburg,OH,https://firstflightaviation.com,professional,medium,Full-service aircraft maintenance + FBO (piston/turboprop/jet),Cessna Citation / Piper / Beechcraft / corporate jets,none,"Est. 1981 at KMGY (Dayton-Wright Brothers Airport). Strong GA and corporate jet presence. Modern website but no evident ERP usage. Good mid-market prospect."
unknown,Premier Aviation Services (Premier Private Jets),Dayton,OH,https://premierprivatejets.com/mro,professional,large,Business jet MRO (turbine aircraft only) multi-location,Cessna Citation / Hawker / Learjet,none,"Acquired Stevens Aerospace Dayton ops in 2024. Operates multiple Part 145 stations. Larger operation — useful reference account but may already use dedicated MRO software."
unknown,Spirit Aeronautics,Gahanna,OH,https://www.spiritaeronautics.com,professional,small,Avionics / interior modifications / transport-category maintenance,Transport category aircraft / bizjets / Boeing,none,"Veteran-owned. Founded Columbus OH 2000. FAR 145 certified. Focus on avionics engineering & modifications. Polished website. No ERP mention. Ideal Athelon prospect — small team managing complex work orders."
IKBR028F,OSU Airport FBO Aircraft Maintenance,Columbus,OH,https://osuairportfbo.org/aircraft-maintenance-avionics,professional,small,General aviation maintenance + avionics,GA fixed-wing,none,"Located at Ohio State Univ Airport (KOSU). Academic institution FBO. FAA CRS #IKBR028F. No software mentioned. May have institutional procurement process."
unknown,Columbus Aero Service,Columbus,OH,https://www.avionics.columbusaeroservice.com,basic,small,Avionics installation / Beechcraft specialist maintenance,Beechcraft Bonanza / Baron / GA fixed-wing,none,"Part 145 certified. Garmin authorized dealer. Website hosted on basic Wix-style platform under unusual subdomain. No ERP visible. Strong SMB target for both website redesign and ERP."
E5ZR316Y,Signature Engines Inc,Cincinnati,OH,https://www.signatureenginesinc.com,basic,small,Lycoming and Continental engine overhaul,GA piston aircraft (Cessna / Piper / Beechcraft),none,"Located at Lunken Airport (KLUK). Over 2000 engines overhauled. Outdated basic website. Ships worldwide. High-volume shop managing engine cores — strong ERP candidate. Website redesign opportunity."
unknown,Pilot Services of Ohio,Cincinnati,OH,https://www.pilotservicesofohio.com,professional,small,Aircraft management / maintenance / avionics (Cessna Citation specialist),Cessna Citation / turbine aircraft,none,"Located at Lunken Airport (KLUK). Garmin dealer. Citation XL work confirmed by testimonial. Solid but modest website. No ERP mentioned. Good SMB prospect managing maintenance + aircraft mgmt."
unknown,Waypoint Aviation,Cincinnati,OH,https://www.waypointaviationluk.com,basic,small,FBO services / basic aircraft maintenance,General aviation,none,"Located at Lunken Airport (KLUK). Listed in city of Cincinnati airport businesses directory. Very basic website. Likely no MRO software. Website redesign and ERP both strong use cases."
unknown,Velocity Maintenance Solutions,Cincinnati,OH,https://www.velocitymaintenancesolutions.com,professional,medium,High-performance aircraft maintenance,Piston / turbine high-performance / light jets,none,"Multi-location shop with Cincinnati presence at Lunken (KLUK). Modern-looking website but possibly private equity-backed chain. Verify independent ownership before targeting."
unknown,Certified Aircraft Maintenance (CAM),Cleveland,OH,https://cam145.com,basic,small,General aviation maintenance and repair,GA fixed-wing / piston,none,"Located at Burke Lakefront Airport Cleveland. FAA Part 145. Basic website with minimal content. No ERP or software mentioned. Strong ERP + web prospect outside the Dayton/Cincy cluster."
WAJR363R,Wichita Aerospace,Wichita,KS,https://wichitaaerospace.com,professional,small,Beechcraft Premier I and Legacy aircraft specialist,Beechcraft Premier I / Beechcraft 400 / Legacy jets,none,"Est. 2021 at Jabara Airport (KAAO). Boutique Beechcraft Premier specialist. Modern WordPress-style site. No ERP mentioned. Very focused niche shop — Athelon's work order/parts tracking would be high value."
unknown,Bevan Aviation (formerly Bevan Rabell),Wichita,KS,https://bevanaviation.com,professional,small,Avionics installation and repair + A&P maintenance,Single-piston / turboprop / small jets,none,"Founded 1954 at KICT. Decades of history as independent avionics shop. Recently rebranded from Bevan Rabell. Modern updated website. No ERP mentioned. Long-tenured SMB likely using spreadsheets."
unknown,Tech-Aire Instruments Inc,Wichita,KS,http://www.tech-aire.com,poor,small,Aircraft instruments repair and exchange (FAA/EASA approved),Multi-type / general,none,"AEA member since 1990. 1326 S Walnut Wichita KS. Website is very outdated basic HTML — coupon PDF on homepage. No digital presence beyond bare-bones site. Top-tier prospect for both redesign and ERP."
unknown,Global Aviation Tech LLC (GATECH),Wichita,KS,https://gatict.com,professional,medium,Full-service MRO / avionics / STCs (King Air specialist),King Air / turboprop / business jets,none,"Expanding Wichita-based MRO. Certified Universal Avionics STC provider for King Air B200/B300. Modern site. No ERP mentioned. Growing mid-market shop — strong Athelon fit as they scale."
unknown,Pem-Air Turbine Engine Services,Wichita,KS,https://pem-air.com,professional,medium,Turbine engine MRO / overhaul / field services (FAA/EASA 145),Turbine jet aircraft,none,"Also at pem-airturbine.com. Component services as well as full engine overhaul. EASA certified. Professional multi-page site. Possibly using existing ERP but no mention visible — worth outreach."
unknown,Midwest Aircraft Services Inc,Newton,KS,https://www.midwestaircraftservices.com,poor,small,Aircraft maintenance / engine repair and overhaul / annual inspections,GA piston (Cessna / Piper / Beechcraft),none,"Located at Newton City-County Airport (~25 mi from Wichita). Very basic website — minimal copy and no contact form. Clearly under-digitized. Strong candidate for both website rebuild and ERP entry."
unknown,Air Capital Interiors Inc,Wichita,KS,https://aircapitalinteriors.com,basic,small,Aircraft interior repair / cabinetry / upholstery / seat refurbishment,Business jets / GA / turboprop,none,"FAA-certified repair station. 9424 E 37th St N Wichita. Specializes in interior restoration. Aging website design. No ERP or digital workflow visible. Parts/labor tracking use case for Athelon."
unknown,Midwest Malibu Center,Hutchinson,KS,http://www.midwestmalibucenter.com,poor,small,Piper PA-46 specialist (Malibu / Meridian / Matrix / Mirage) maintenance and parts,Piper PA-46 variants,none,"Located at Hutchinson Municipal Airport KS (~45 mi from Wichita). Extremely basic website. Single-type specialist shop. Very high value for niche ERP tracking of PA-46 AD/SB compliance and parts."
unknown,Air Plains Services Corp,Wellington,KS,https://www.airplains.com,professional,small,Cessna specialist / engine upgrades / STC / FAA-PMA parts manufacturing,Cessna 172 / 180 / 182 / 182RG,none,"Founded 1977 Wellington KS municipal airport. 20+ STCs. FAA certified repair station and Cessna Service Center. Also runs shopairplains.com for parts. Solid website but no ERP visible. Complex parts/STC tracking — strong Athelon use case."
unknown,STOL Creek Aviation LLC,Whitewater,KS,https://stolcreek.com,basic,small,Light Sport / Experimental / Ultralight aircraft maintenance + Rotax repair,Light Sport / Experimental / Ultralight / Rotax-powered aircraft,none,"Located at Whitewater KS (~20 mi from Wichita). Independent Rotax repair center. A&P/IA shop. Basic website. Small solo/2-person operation. May be too small for full ERP but website redesign opportunity exists."
