legal_name,dba_name,city,state,website_presence,website_presence_source_ref,news_signal_12m,news_signal_12m_source_ref,directory_presence,directory_presence_source_ref,contact_discoverability,contact_discoverability_source_ref,observability_score,score_explain
ADVANCED AEROTECHNOLOGIES GROUP LLC,,GREELEY,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,medium,round-1/team-a-registry/OUTPUT.csv,30,"website=none, news_12m=unknown, directory=medium, contact=medium; conservative OSINT score from Round-1 artifacts."
AEROFIELD SERVICES LLC,,AURORA,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,medium,round-1/team-a-registry/OUTPUT.csv,30,"website=none, news_12m=unknown, directory=medium, contact=medium; conservative OSINT score from Round-1 artifacts."
"AIR COMM CORPORATION, LLC",,THORNTON,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,medium,round-1/team-a-registry/OUTPUT.csv,30,"website=none, news_12m=unknown, directory=medium, contact=medium; conservative OSINT score from Round-1 artifacts."
AIR METHODS LLC,DBA UNITED ROTORCRAFT,ENGLEWOOD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
AIRCAM NATIONAL HELICOPTER SERVICES INC,,ENGLEWOOD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
AIRCRAFT MAINTENANCE AND MANAGEMENT COMPANY,DBA HAGGAN AVIATION,ENGLEWOOD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
ALLEN AVIATION LLC,,LAMAR,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
ALLOY METALWORKS LLC,,SHERIDAN,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,medium,round-1/team-a-registry/OUTPUT.csv,30,"website=none, news_12m=unknown, directory=medium, contact=medium; conservative OSINT score from Round-1 artifacts."
AOG-ASAP AVIONICS INC,,WATKINS,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,high,round-1/team-a-registry/OUTPUT.csv,38,"website=none, news_12m=unknown, directory=medium, contact=high; conservative OSINT score from Round-1 artifacts."
ARAPAHOE AERO AVIONICS,,ENGLEWOOD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,high,round-1/team-a-registry/OUTPUT.csv,38,"website=none, news_12m=unknown, directory=medium, contact=high; conservative OSINT score from Round-1 artifacts."
"AVEX AVIATION, LLC",,BROOMFIELD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,medium,round-1/team-a-registry/OUTPUT.csv,30,"website=none, news_12m=unknown, directory=medium, contact=medium; conservative OSINT score from Round-1 artifacts."
AVIATION WINDOW SERVICES,,BOULDER,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,high,round-1/team-a-registry/OUTPUT.csv,38,"website=none, news_12m=unknown, directory=medium, contact=high; conservative OSINT score from Round-1 artifacts."
AVTRONICS INC,,PAGOSA SPRINGS,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
BAE SYSTEMS SPACE & MISSION SYSTEMS INC,,WESTMINSTER,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,medium,round-1/team-a-registry/OUTPUT.csv,30,"website=none, news_12m=unknown, directory=medium, contact=medium; conservative OSINT score from Round-1 artifacts."
BEEGLES AIRCRAFT SERVICE LLC,,GREELEY,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,high,round-1/team-a-registry/OUTPUT.csv,38,"website=none, news_12m=unknown, directory=medium, contact=high; conservative OSINT score from Round-1 artifacts."
BODE AVIATION INC,,ENGLEWOOD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
"C7 AEROWERKS, LLC",,COLORADO SPRINGS,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,medium,round-1/team-a-registry/OUTPUT.csv,30,"website=none, news_12m=unknown, directory=medium, contact=medium; conservative OSINT score from Round-1 artifacts."
CAE USA INC,,PUEBLO,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
CENTENNIAL AIRCRAFT INTERIORS CORPORATION,,ENGLEWOOD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,medium,round-1/team-a-registry/OUTPUT.csv,30,"website=none, news_12m=unknown, directory=medium, contact=medium; conservative OSINT score from Round-1 artifacts."
CENTRI-LUBE TECHNOLOGIES LLC,,LOVELAND,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,medium,round-1/team-a-registry/OUTPUT.csv,30,"website=none, news_12m=unknown, directory=medium, contact=medium; conservative OSINT score from Round-1 artifacts."
CENTURY HELICOPTERS INC,,FORT COLLINS,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,high,round-1/team-a-registry/OUTPUT.csv,38,"website=none, news_12m=unknown, directory=medium, contact=high; conservative OSINT score from Round-1 artifacts."
COLORADO AIRWORKS LLC,,COLORADO SPRINGS,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
CUTTER AVIATION DENVER CO-APA,,ENGLEWOOD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,medium,round-1/team-a-registry/OUTPUT.csv,30,"website=none, news_12m=unknown, directory=medium, contact=medium; conservative OSINT score from Round-1 artifacts."
D & J AVIATION INC,,COLORADO SPRINGS,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,high,round-1/team-a-registry/OUTPUT.csv,38,"website=none, news_12m=unknown, directory=medium, contact=high; conservative OSINT score from Round-1 artifacts."
DENVER HOT AIR REPAIR,DBA A DIVISION OF OF DEKOEVEND ENTERPRISES C.,SAN LUIS,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,high,round-1/team-a-registry/OUTPUT.csv,38,"website=none, news_12m=unknown, directory=medium, contact=high; conservative OSINT score from Round-1 artifacts."
DEPOT AVIONICS INC,,ALAMOSA,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,high,round-1/team-a-registry/OUTPUT.csv,38,"website=none, news_12m=unknown, directory=medium, contact=high; conservative OSINT score from Round-1 artifacts."
DIRECT MX AVIATION LLC,,ENGLEWOOD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
DNT AVIONICS,,GRAND JUNCTION,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,high,round-1/team-a-registry/OUTPUT.csv,38,"website=none, news_12m=unknown, directory=medium, contact=high; conservative OSINT score from Round-1 artifacts."
ELEVATE MRO,DBA ELEVATE MRO,BROOMFIELD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,high,round-1/team-a-registry/OUTPUT.csv,38,"website=none, news_12m=unknown, directory=medium, contact=high; conservative OSINT score from Round-1 artifacts."
FREEDOM AVIONICS,DBA AERO PROP USA DBA FREEDOM AIR AVIONICS,BROOMFIELD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
FRONT RANGE TRANSPONDER SERVICE,DBA MOUNTAIN AIR AVIATION,BROOMFIELD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,high,round-1/team-a-registry/OUTPUT.csv,38,"website=none, news_12m=unknown, directory=medium, contact=high; conservative OSINT score from Round-1 artifacts."
"GLOBAL SUPERTANKER AVIATION, LLC.",,DENVER,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
"GOGO BUSINESS AVIATION, LLC",DBA GOGO FLIGHT SERVICES,BROOMFIELD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,medium,round-1/team-a-registry/OUTPUT.csv,30,"website=none, news_12m=unknown, directory=medium, contact=medium; conservative OSINT score from Round-1 artifacts."
"GOGO BUSINESS AVIATION, LLC.",,BROOMFIELD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,high,round-1/team-a-registry/OUTPUT.csv,38,"website=none, news_12m=unknown, directory=medium, contact=high; conservative OSINT score from Round-1 artifacts."
HAYES AVIATION RS,,AKRON,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
HELIARC WELDING SERVICE,,DENVER,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,medium,round-1/team-a-registry/OUTPUT.csv,30,"website=none, news_12m=unknown, directory=medium, contact=medium; conservative OSINT score from Round-1 artifacts."
HQ HELIWORKS LLC,,BROOMFIELD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
"INTERMOUNTAIN TESTING COMPANY, LLC",,ENGLEWOOD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,high,round-1/team-a-registry/OUTPUT.csv,38,"website=none, news_12m=unknown, directory=medium, contact=high; conservative OSINT score from Round-1 artifacts."
"INTERNATIONAL GOVERNOR SERVICES, LLC",DBA STANDARDAERO COMPONENT SERVICES,BROOMFIELD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,medium,round-1/team-a-registry/OUTPUT.csv,30,"website=none, news_12m=unknown, directory=medium, contact=medium; conservative OSINT score from Round-1 artifacts."
JETTECH LLC,,BROOMFIELD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,high,round-1/team-a-registry/OUTPUT.csv,38,"website=none, news_12m=unknown, directory=medium, contact=high; conservative OSINT score from Round-1 artifacts."
KEY LIME AIR CORPORATION,DBA DENVER AIR CONNECTION,ENGLEWOOD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
LEGACY AIR,,BROOMFIELD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,high,round-1/team-a-registry/OUTPUT.csv,38,"website=none, news_12m=unknown, directory=medium, contact=high; conservative OSINT score from Round-1 artifacts."
LIFE CYCLE BALLOON REPAIR,,BRIGHTON,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,high,round-1/team-a-registry/OUTPUT.csv,38,"website=none, news_12m=unknown, directory=medium, contact=high; conservative OSINT score from Round-1 artifacts."
M E K LTD,DBA GRANITE MOUNTAIN REPAIR,COLORADO SPRINGS,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
MEEKER AIRPORT INC,DBA TRISTAR AVIATION,MEEKER,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,high,round-1/team-a-registry/OUTPUT.csv,38,"website=none, news_12m=unknown, directory=medium, contact=high; conservative OSINT score from Round-1 artifacts."
MOBILE TRANSPONDER SERVICES LLC,DBA AVIONICS UPGRADES,PEYTON,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
PEGASUS AEROSPACE MISSION SYSTEMS,,COLORADO SPRINGS,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,medium,round-1/team-a-registry/OUTPUT.csv,30,"website=none, news_12m=unknown, directory=medium, contact=medium; conservative OSINT score from Round-1 artifacts."
"PHOENIX TURBINE OVERHAUL AND REPAIR, LLC.",DBA NONE,FORT COLLINS,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,high,round-1/team-a-registry/OUTPUT.csv,38,"website=none, news_12m=unknown, directory=medium, contact=high; conservative OSINT score from Round-1 artifacts."
PILATUS AIRCRAFT USA LTD.,,BROOMFIELD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,high,round-1/team-a-registry/OUTPUT.csv,38,"website=none, news_12m=unknown, directory=medium, contact=high; conservative OSINT score from Round-1 artifacts."
POSITECH INTERNATIONAL LLC,,DELTA,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,medium,round-1/team-a-registry/OUTPUT.csv,30,"website=none, news_12m=unknown, directory=medium, contact=medium; conservative OSINT score from Round-1 artifacts."
PRECISION AIRCRAFT & ENGINE SERVICES INC,DBA MAYO AVIATION LLC,ENGLEWOOD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,medium,round-1/team-a-registry/OUTPUT.csv,30,"website=none, news_12m=unknown, directory=medium, contact=medium; conservative OSINT score from Round-1 artifacts."
"PREMIER AIR CENTER, LLC",DBA WEST STAR AVIATION,ENGLEWOOD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,medium,round-1/team-a-registry/OUTPUT.csv,30,"website=none, news_12m=unknown, directory=medium, contact=medium; conservative OSINT score from Round-1 artifacts."
PRO POLISH LLC,,ENGLEWOOD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,high,round-1/team-a-registry/OUTPUT.csv,38,"website=none, news_12m=unknown, directory=medium, contact=high; conservative OSINT score from Round-1 artifacts."
REDLINE AVIATION,,AKRON,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,high,round-1/team-a-registry/OUTPUT.csv,38,"website=none, news_12m=unknown, directory=medium, contact=high; conservative OSINT score from Round-1 artifacts."
ROCKY MOUNTAIN HOT AIR LLC,,DENVER,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
ROCKY MOUNTAIN PROPELLERS INC,,ERIE,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,high,round-1/team-a-registry/OUTPUT.csv,38,"website=none, news_12m=unknown, directory=medium, contact=high; conservative OSINT score from Round-1 artifacts."
SABER AIRCRAFT SERVICES LLC,,PUEBLO,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
"SIERRA NEVADA COMPANY, LLC",,ENGLEWOOD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,medium,round-1/team-a-registry/OUTPUT.csv,30,"website=none, news_12m=unknown, directory=medium, contact=medium; conservative OSINT score from Round-1 artifacts."
STEVENS AEROSPACE AND DEFENSE SYSTEMS LLC,,ENGLEWOOD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
STRAIGHT FLIGHT LLC,,ENGLEWOOD,CO,strong,round-1/team-b-enrichment/OUTPUT.csv,low,round-1/team-b-enrichment/OUTPUT.csv,high,round-1/team-b-enrichment/OUTPUT.csv;round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,medium,round-1/team-a-registry/OUTPUT.csv,75,"website=strong, news_12m=low, directory=high, contact=medium; conservative OSINT score from Round-1 artifacts."
TRANS AERO LLC,DBA TRANS AERO LTD DBA TRANS AERO LIMITED,LOVELAND,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,medium,round-1/team-a-registry/OUTPUT.csv,30,"website=none, news_12m=unknown, directory=medium, contact=medium; conservative OSINT score from Round-1 artifacts."
"TRINE AEROSPACE, LLC",DBA TRINE AEROSPACE & & DEFENSE DBA TRINE AVIATION SERVICES,COLORADO SPRINGS,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
TWIN OTTER INTERNATIONAL LTD,DBA TWIN OTTER AIRBORNE AIRBORNE RESEARCH,GRAND JUNCTION,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
"UNILODE AVIATION SOLUTIONS US, INC",DBA UNILODE AVIATION SOLUTIONS,DENVER,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,medium,round-1/team-a-registry/OUTPUT.csv,30,"website=none, news_12m=unknown, directory=medium, contact=medium; conservative OSINT score from Round-1 artifacts."
"WEST STAR AVIATION, LLC",DBA WEST STAR AVIATION,GRAND JUNCTION,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
WESTERN AERO REPAIR INC,,DENVER,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
WESTERN PLAINS AVIATION LLC,,GREELEY,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
WESTERN SKYWAYS INC,DBA WESTERN SKYWAYS,MONTROSE,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,medium,round-1/team-a-registry/OUTPUT.csv,30,"website=none, news_12m=unknown, directory=medium, contact=medium; conservative OSINT score from Round-1 artifacts."
WESTERN SKYWAYS TURBINE INC,DBA ROCKY MOUNTAIN TURBINE TURBINE SERVICES,MONTROSE,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
WESTPAC PROPELLER SERVICES INC,,COLORADO SPRINGS,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
WOODWARD HRT INC,,FT. COLLINS,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
